,TF,target,importance
34,CTSG,MARCO,5.654984123808047
9,FOS,MARCO,4.729698279062166
11,CXCL1,FOS,4.709548949367052
11,ARG1,LCN2,4.378575322197953
29,CEACAM8,MARCO,4.043751936619828
15,C1QB,MARCO,3.96352028728027
16,F2RL1,MARCO,3.9575539393236836
34,CTSG,LTF,3.9529689381325817
4,PTGS2,LTF,3.944477344423178
26,MARCO,F2RL1,3.7336661182758224
27,MSR1,MARCO,3.6988246911640807
0,HLA-DRB4,FOS,3.686624497729343
8,EGR1,MARCO,3.557239128817498
24,LILRA4,CEACAM8,3.553486552918573
22,LBP,FOS,3.4467739551178904
11,ARG1,MARCO,3.1228957420646175
9,FOS,LBP,3.0904875920030275
20,IDO1,IL3RA,3.0459317470926934
14,C1QB,HLA-DQB1,2.9980764823977104
30,IL32,EGR2,2.9768347010666663
22,IL1RAP,IFI27,2.9766292683373914
31,TREM1,LBP,2.970157376330143
13,PTGDR2,ARG1,2.9685325230794652
24,CCL2,ARG1,2.9642375610740452
23,LILRA4,EGR1,2.963139452629364
12,C3AR1,IL1R2,2.959415919971507
14,PTGDR2,IL32,2.957949572405792
17,FCER1A,FOS,2.9475340903906044
18,FLT3,PTGS2,2.9126291556230575
11,CXCL1,PTGS2,2.9096632206075936
9,FOS,CCL2,2.907141613286462
31,TREM1,FOS,2.9052768158477553
7,EGR1,IL3RA,2.8975203133872673
34,CTSG,CREB5,2.8905777574536637
5,IL8,CXCL1,2.885184858154161
32,LCN2,EGR1,2.8738327385652656
17,FCER1A,CXCL1,2.862589434447048
17,SLC11A1,CEACAM6,2.860330015149003
31,TREM1,CXCL1,2.856287799282295
7,IL3RA,CCL2,2.8476597271222723
3,IL1R2,IL1RAP,2.8280478574960135
6,FN1,CTSG,2.8202251273367
28,CEACAM6,FCER1A,2.807859600070347
2,HLA-DQB1,SLC11A1,2.7897705517935423
24,CCL2,EGR2,2.7743552794617843
12,C3AR1,FOS,2.772257282038751
29,CEACAM8,FOS,2.770049879136817
16,SLC11A1,EGR1,2.751150831064927
12,CXCL1,MSR1,2.746423225151344
32,LCN2,FCER1A,2.724178780051946
30,CEACAM8,TREM1,2.7143097938400005
14,C1QB,FN1,2.708874089619515
28,MSR1,LCN2,2.7088662417141895
16,F2RL1,IFI27,2.7050032990573074
1,HLA-DQA1,C1QB,2.6971756004589382
4,PTGS2,IDO1,2.688601915989321
23,LBP,CREB5,2.68826234358313
27,MSR1,FOS,2.659713112408091
28,MSR1,CREB5,2.647692820951759
0,HLA-DRB4,CEACAM8,2.647661040404056
29,CEACAM8,IL1RAP,2.645739748498037
1,HLA-DQB1,HLA-DRB4,2.5905843767538514
25,IFI27,FOS,2.589251364776674
30,IL32,IDO1,2.586896256498294
6,FN1,IDO1,2.5787157180417983
27,MSR1,LILRA4,2.5437986524168137
26,MARCO,PTGDR2,2.526345732253375
27,MARCO,MSR1,2.5200250080452378
4,PTGS2,LCN2,2.495007685813887
32,LCN2,IDO1,2.494105236292476
32,LCN2,FOS,2.2078950039569802
23,LBP,MARCO,2.202789120805839
34,CTSG,MSR1,2.170789031519924
12,CXCL1,MARCO,2.1688799573492217
12,C3AR1,HLA-DRB4,2.1580051288538673
12,C3AR1,EGR2,2.142548889799968
29,CEACAM6,TREM1,2.1406282892822825
6,IL3RA,HLA-DQA1,2.1340943183397587
7,IL3RA,CEACAM8,2.123433049845948
21,IL1RAP,SLC11A1,2.123254001391641
16,SLC11A1,C1QB,2.1227958943781573
10,EGR2,C1QB,2.1042209876122984
18,FCER1A,LBP,2.1024966122251025
22,LBP,F2RL1,2.062034216859897
13,C3AR1,FCER1A,2.0595328815938356
32,LCN2,HLA-DQA1,2.042818070584244
16,SLC11A1,FOS,2.0293712370414547
5,IL8,IFI27,2.028008054883799
29,CEACAM8,PTGDR2,2.0272452820415996
34,CREB5,CTSG,2.0228903754772887
14,PTGDR2,CEACAM8,2.020118387708535
15,F2RL1,FOS,2.0116715887836736
5,IL8,IL1RAP,2.007732117225297
22,IL1RAP,IL32,2.006158814293789
27,MSR1,IL8,2.0041105783326403
5,IL8,ARG1,2.0010500114746366
27,MSR1,HLA-DQB1,2.0005447610981424
25,IFI27,HLA-DQB1,2.000424847013255
1,HLA-DQA1,PTGS2,2.000024290647267
31,TREM1,HLA-DRB4,2.0
11,CXCL1,HLA-DRB4,1.999997768469825
24,CCL2,HLA-DRB4,1.9999469608875153
5,FN1,HLA-DRB4,1.9998944324445453
6,IL3RA,HLA-DRB4,1.999689291495027
16,F2RL1,MSR1,1.9989748016417195
3,IL1R2,ARG1,1.998743960172498
9,FOS,PTGDR2,1.9987136434348642
0,HLA-DRB4,IL8,1.997121627658655
26,MARCO,FN1,1.9911438838326472
31,TREM1,MARCO,1.9900656459734627
32,LCN2,IL32,1.9893018062391754
6,IL3RA,IL8,1.9889029495580646
8,EGR1,CXCL1,1.988610274690341
16,SLC11A1,ARG1,1.9884490290984762
29,CEACAM8,ARG1,1.9869747809419098
5,FN1,IL8,1.9832972567351181
16,SLC11A1,F2RL1,1.9803083097998282
23,LILRA4,FN1,1.9798221913313623
32,LCN2,FLT3,1.9797646663431934
21,IDO1,IFI27,1.9783149884560263
30,IL32,ARG1,1.9772570061227963
10,ARG1,FN1,1.9760672922189182
18,FLT3,FOS,1.9748640765602075
29,CEACAM8,EGR1,1.9743942024816619
33,CREB5,FN1,1.9724752813877078
11,ARG1,LTF,1.972380857615586
24,CCL2,LTF,1.9721095858212405
22,LBP,SLC11A1,1.9719774384839566
18,FCER1A,CTSG,1.969259392001185
24,CCL2,IL1R2,1.9684036783989678
21,IDO1,CEACAM8,1.9680450666847684
19,LTF,SLC11A1,1.9668949974438108
6,FN1,ARG1,1.966514661948725
10,ARG1,FOS,1.9662459356692468
24,CCL2,FLT3,1.9639155253190452
9,EGR2,HLA-DQB1,1.9625181645279262
30,IL32,HLA-DQB1,1.962288292246412
18,FCER1A,CCL2,1.961603817584159
26,MARCO,FLT3,1.960576281166674
13,PTGDR2,EGR2,1.9595740354769904
13,PTGDR2,HLA-DQB1,1.9580867564489204
21,IL1RAP,F2RL1,1.955370252842498
18,FLT3,FN1,1.954422246450026
5,IL8,EGR1,1.9542258240479542
21,IL1RAP,IL1R2,1.954122186123008
13,PTGDR2,IL1R2,1.9538390779968577
26,IFI27,CEACAM6,1.9527925186748663
26,MARCO,FCER1A,1.9510845902227392
29,CEACAM8,SLC11A1,1.9498961333422882
9,FOS,IL32,1.9471471847262538
